Avibase.ID,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Measurer,Protocol,Publication
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22,16.7,2.5,1.7,7.4,85,57,28,67.1,45,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,19.6,15.3,2.4,1.8,6.7,73,45.3,27.7,62.1,50,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.7,17.2,2.5,1.7,7.2,82,55,27,67.1,52,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.2,16.9,2.5,1.7,7.4,74,52,22,70.3,53,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.4,16.7,2.6,1.6,7.4,82,51,31,62.2,NA,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,21.9,15.4,2.7,1.7,7.2,83,50,33,60.2,52,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,21.4,16.3,2.5,1.7,7.3,82,54,28,65.9,51,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.6,16.5,2.5,2.2,7.6,82,47,35,57.3,55,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,21.4,16.5,2.3,1.6,7.5,84,54,30,64.3,45,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.5,17.4,2.5,1.8,7.7,83,53,30,63.9,51,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,19.3,16.1,2.8,1.9,7.5,84,51.3,32.7,61.1,52,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,21.9,15.4,2.4,1.7,7.4,85,53,32,62.4,50,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.9,16.4,2.5,1.8,7.5,80,49,31,61.3,49,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,24,16.7,2.6,2,7.2,77,45,32,58.4,51,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.3,16,2.5,2,7.4,84,49,35,58.3,50.5,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,23.8,16.5,2.5,2,6.5,79,46,33,58.2,53,BD,1,NA
AVIBASE-58759895,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,Aglaeactis cupripennis,2,Field1,NA,U,0,,Peru,,22.4,15.8,2.5,1.9,7.7,81,50,31,61.7,49.5,BD,1,NA
